year,city,state,city_tier,population_approx,median_salary_gross_usd_monthly,median_salary_net_usd_monthly,median_salary_gross_usd_annual,national_median_gross_usd_monthly,national_median_gross_usd_annual,national_mean_gross_usd_monthly,fed_min_wage_usd_hourly,salary_to_national_ratio,cpi_annual_pct,cost_of_living_index,rent_1br_city_center_usd,rent_1br_outside_center_usd,meal_cheap_restaurant_usd,groceries_monthly_usd,public_transport_monthly_usd,est_monthly_cost_single_usd,affordability_ratio,rent_to_income_pct,data_source
2019,Detroit,Michigan,city_large,639000,2943,2148,35316,3318,39810,4458,7.25,0.887,1.8,58.5,1341,961,13,381,66,1790,1.2,32.7,numbeo
2020,Detroit,Michigan,city_large,639000,3089,2255,37068,3496,41950,4692,7.25,0.884,1.2,58.9,1316,980,14,376,65,1825,1.24,31.7,numbeo
2021,Detroit,Michigan,city_large,639000,3440,2511,41280,3813,45760,4855,7.25,0.902,4.7,59.8,1331,1007,14,389,70,1876,1.34,29.3,numbeo
2022,Detroit,Michigan,city_large,639000,3586,2618,43032,3859,46310,5158,7.25,0.929,8.0,59.3,1486,1077,15,410,74,2001,1.31,30.0,numbeo
2023,Detroit,Michigan,city_large,639000,3754,2740,45048,4005,48060,5456,7.25,0.937,4.1,60.5,1531,1157,16,441,76,2140,1.28,30.8,numbeo
2024,Detroit,Michigan,city_large,639000,3768,2751,45216,4167,50000,5660,7.25,0.904,2.9,60.3,1615,1232,16,440,78,2220,1.24,32.7,numbeo
2010,Grand Rapids,Michigan,city_medium,198000,2693,1966,32316,2820,33840,3622,7.25,0.955,1.6,55.6,816,642,10,272,44,1262,1.56,23.8,bls_modeled
2011,Grand Rapids,Michigan,city_medium,198000,2915,2128,34980,2872,34460,3701,7.25,1.015,3.2,56.7,863,716,10,276,47,1347,1.58,24.6,bls_modeled
2012,Grand Rapids,Michigan,city_medium,198000,2810,2051,33720,2896,34750,3769,7.25,0.97,2.1,56.9,852,705,11,288,46,1369,1.5,25.1,bls_modeled
2013,Grand Rapids,Michigan,city_medium,198000,2846,2078,34152,2923,35080,3870,7.25,0.974,1.5,56.7,866,700,11,280,47,1359,1.53,24.6,bls_modeled
2014,Grand Rapids,Michigan,city_medium,198000,2856,2085,34272,2962,35540,3936,7.25,0.964,1.6,56.8,950,702,11,284,49,1368,1.52,24.6,bls_modeled
2015,Grand Rapids,Michigan,city_medium,198000,2938,2145,35256,3017,36200,4027,7.25,0.974,0.1,57.2,874,699,11,300,50,1382,1.55,23.8,bls_modeled
2016,Grand Rapids,Michigan,city_medium,198000,2991,2183,35892,3087,37040,4136,7.25,0.969,1.3,57.3,896,699,11,307,51,1392,1.57,23.4,bls_modeled
2017,Grand Rapids,Michigan,city_medium,198000,3220,2351,38640,3141,37690,4218,7.25,1.025,2.1,57.9,936,741,11,299,49,1426,1.65,23.0,bls_modeled
2018,Grand Rapids,Michigan,city_medium,198000,3201,2337,38412,3220,38640,4330,7.25,0.994,2.4,58.1,991,783,12,312,52,1507,1.55,24.5,bls_modeled
2019,Grand Rapids,Michigan,city_medium,198000,3393,2477,40716,3318,39810,4458,7.25,1.023,1.8,57.3,1004,759,11,309,55,1465,1.69,22.4,bls_modeled
2020,Grand Rapids,Michigan,city_medium,198000,3613,2637,43356,3496,41950,4692,7.25,1.033,1.2,59.0,988,795,12,333,55,1547,1.7,22.0,bls_modeled
2021,Grand Rapids,Michigan,city_medium,198000,3967,2896,47604,3813,45760,4855,7.25,1.04,4.7,59.2,1086,833,12,347,58,1608,1.8,21.0,bls_modeled
2022,Grand Rapids,Michigan,city_medium,198000,4002,2921,48024,3859,46310,5158,7.25,1.037,8.0,58.2,1114,897,13,369,60,1726,1.69,22.4,bls_modeled
2023,Grand Rapids,Michigan,city_medium,198000,4136,3019,49632,4005,48060,5456,7.25,1.033,4.1,58.4,1137,935,13,384,65,1790,1.69,22.6,bls_modeled
2024,Grand Rapids,Michigan,city_medium,198000,4321,3154,51852,4167,50000,5660,7.25,1.037,2.9,59.4,1259,929,14,401,64,1824,1.73,21.5,bls_modeled
2010,Columbus,Ohio,city_large,905000,2697,1969,32364,2820,33840,3622,7.25,0.956,1.6,61.6,1087,825,11,316,56,1521,1.29,30.6,numbeo
2011,Columbus,Ohio,city_large,905000,2721,1986,32652,2872,34460,3701,7.25,0.947,3.2,62.9,1131,893,11,326,58,1605,1.24,32.8,numbeo
2012,Columbus,Ohio,city_large,905000,2636,1924,31632,2896,34750,3769,7.25,0.91,2.1,62.8,1184,909,11,328,57,1624,1.18,34.5,numbeo
2013,Columbus,Ohio,city_large,905000,2801,2045,33612,2923,35080,3870,7.25,0.958,1.5,62.8,1189,932,12,335,61,1680,1.22,33.3,numbeo
2014,Columbus,Ohio,city_large,905000,2815,2055,33780,2962,35540,3936,7.25,0.95,1.6,63.3,1158,920,12,350,61,1684,1.22,32.7,numbeo
2015,Columbus,Ohio,city_large,905000,2809,2051,33708,3017,36200,4027,7.25,0.931,0.1,64.0,1209,908,12,349,62,1672,1.23,32.3,numbeo
2016,Columbus,Ohio,city_large,905000,2911,2125,34932,3087,37040,4136,7.25,0.943,1.3,64.3,1196,885,13,354,63,1677,1.27,30.4,numbeo
2017,Columbus,Ohio,city_large,905000,3047,2224,36564,3141,37690,4218,7.25,0.97,2.1,64.2,1195,932,12,353,62,1704,1.31,30.6,numbeo
2018,Columbus,Ohio,city_large,905000,3068,2240,36816,3220,38640,4330,7.25,0.953,2.4,64.4,1300,935,13,375,62,1752,1.28,30.5,numbeo
2019,Columbus,Ohio,city_large,905000,3099,2262,37188,3318,39810,4458,7.25,0.934,1.8,64.0,1301,937,14,378,66,1783,1.27,30.2,numbeo
2020,Columbus,Ohio,city_large,905000,3420,2497,41040,3496,41950,4692,7.25,0.978,1.2,64.4,1327,1011,13,376,65,1836,1.36,29.6,numbeo
2021,Columbus,Ohio,city_large,905000,3620,2643,43440,3813,45760,4855,7.25,0.949,4.7,64.9,1370,1026,14,380,68,1884,1.4,28.3,numbeo
2022,Columbus,Ohio,city_large,905000,3582,2615,42984,3859,46310,5158,7.25,0.928,8.0,64.7,1442,1113,16,415,72,2060,1.27,31.1,numbeo
2023,Columbus,Ohio,city_large,905000,3809,2781,45708,4005,48060,5456,7.25,0.951,4.1,64.5,1490,1198,16,428,75,2167,1.28,31.5,numbeo
2024,Columbus,Ohio,city_large,905000,3905,2851,46860,4167,50000,5660,7.25,0.937,2.9,64.4,1572,1203,17,441,82,2216,1.29,30.8,numbeo
2010,Cleveland,Ohio,city_large,372000,2534,1850,30408,2820,33840,3622,7.25,0.899,1.6,60.0,1085,872,12,310,55,1581,1.17,34.4,numbeo
2011,Cleveland,Ohio,city_large,372000,2553,1864,30636,2872,34460,3701,7.25,0.889,3.2,60.2,1170,874,11,323,59,1584,1.18,34.2,numbeo
2012,Cleveland,Ohio,city_large,372000,2575,1880,30900,2896,34750,3769,7.25,0.889,2.1,60.2,1149,849,12,342,60,1601,1.17,33.0,numbeo
2013,Cleveland,Ohio,city_large,372000,2619,1912,31428,2923,35080,3870,7.25,0.896,1.5,60.6,1212,858,12,322,60,1592,1.2,32.8,numbeo
2014,Cleveland,Ohio,city_large,372000,2666,1946,31992,2962,35540,3936,7.25,0.9,1.6,60.8,1201,866,12,341,62,1622,1.2,32.5,numbeo
2015,Cleveland,Ohio,city_large,372000,2686,1961,32232,3017,36200,4027,7.25,0.89,0.1,60.3,1219,869,12,344,62,1628,1.2,32.4,numbeo
2016,Cleveland,Ohio,city_large,372000,2629,1919,31548,3087,37040,4136,7.25,0.852,1.3,60.7,1258,880,13,353,61,1669,1.15,33.5,numbeo
2017,Cleveland,Ohio,city_large,372000,2797,2042,33564,3141,37690,4218,7.25,0.89,2.1,61.3,1223,938,12,345,61,1701,1.2,33.5,numbeo
2018,Cleveland,Ohio,city_large,372000,2830,2066,33960,3220,38640,4330,7.25,0.879,2.4,60.3,1294,987,13,362,67,1796,1.15,34.9,numbeo
2019,Cleveland,Ohio,city_large,372000,2974,2171,35688,3318,39810,4458,7.25,0.896,1.8,60.5,1250,1021,14,354,64,1841,1.18,34.3,numbeo
2020,Cleveland,Ohio,city_large,372000,3042,2221,36504,3496,41950,4692,7.25,0.87,1.2,61.3,1307,1026,13,366,65,1841,1.21,33.7,numbeo
2021,Cleveland,Ohio,city_large,372000,3268,2386,39216,3813,45760,4855,7.25,0.857,4.7,61.8,1385,1058,14,387,67,1922,1.24,32.4,numbeo
2022,Cleveland,Ohio,city_large,372000,3485,2544,41820,3859,46310,5158,7.25,0.903,8.0,61.3,1489,1169,15,431,76,2116,1.2,33.5,numbeo
2023,Cleveland,Ohio,city_large,372000,3657,2670,43884,4005,48060,5456,7.25,0.913,4.1,61.6,1513,1172,16,427,79,2144,1.25,32.0,numbeo
2024,Cleveland,Ohio,city_large,372000,3703,2703,44436,4167,50000,5660,7.25,0.889,2.9,62.1,1531,1189,16,434,80,2173,1.24,32.1,numbeo
2010,Cincinnati,Ohio,city_large,309000,3101,2264,37212,2820,33840,3622,7.25,1.1,1.6,65.7,1125,844,12,301,54,1543,1.47,27.2,bls_modeled
2011,Cincinnati,Ohio,city_large,309000,3009,2197,36108,2872,34460,3701,7.25,1.048,3.2,66.0,1197,868,11,314,58,1568,1.4,28.8,bls_modeled
2012,Cincinnati,Ohio,city_large,309000,3063,2236,36756,2896,34750,3769,7.25,1.058,2.1,64.9,1220,871,12,337,59,1617,1.38,28.4,bls_modeled
2013,Cincinnati,Ohio,city_large,309000,3032,2213,36384,2923,35080,3870,7.25,1.037,1.5,66.4,1224,933,12,323,58,1666,1.33,30.8,bls_modeled
2014,Cincinnati,Ohio,city_large,309000,3225,2354,38700,2962,35540,3936,7.25,1.089,1.6,66.8,1174,948,12,348,62,1711,1.38,29.4,bls_modeled
2015,Cincinnati,Ohio,city_large,309000,3246,2370,38952,3017,36200,4027,7.25,1.076,0.1,65.9,1200,951,12,330,59,1693,1.4,29.3,bls_modeled
2016,Cincinnati,Ohio,city_large,309000,3352,2447,40224,3087,37040,4136,7.25,1.086,1.3,66.6,1168,945,12,342,64,1706,1.43,28.2,bls_modeled
2017,Cincinnati,Ohio,city_large,309000,3447,2516,41364,3141,37690,4218,7.25,1.097,2.1,66.4,1278,918,12,348,60,1683,1.49,26.6,bls_modeled
2018,Cincinnati,Ohio,city_large,309000,3440,2511,41280,3220,38640,4330,7.25,1.068,2.4,67.0,1295,914,13,362,66,1722,1.46,26.6,bls_modeled
2019,Cincinnati,Ohio,city_large,309000,3518,2568,42216,3318,39810,4458,7.25,1.06,1.8,67.5,1367,999,13,356,65,1802,1.43,28.4,bls_modeled
2020,Cincinnati,Ohio,city_large,309000,3786,2764,45432,3496,41950,4692,7.25,1.083,1.2,67.9,1276,957,14,374,66,1801,1.53,25.3,bls_modeled
2021,Cincinnati,Ohio,city_large,309000,3993,2915,47916,3813,45760,4855,7.25,1.047,4.7,67.3,1317,1042,14,403,71,1926,1.51,26.1,bls_modeled
2022,Cincinnati,Ohio,city_large,309000,4207,3071,50484,3859,46310,5158,7.25,1.09,8.0,67.7,1448,1167,15,410,75,2092,1.47,27.7,bls_modeled
2023,Cincinnati,Ohio,city_large,309000,4424,3230,53088,4005,48060,5456,7.25,1.105,4.1,67.9,1526,1201,15,424,78,2149,1.5,27.1,bls_modeled
2024,Cincinnati,Ohio,city_large,309000,4488,3276,53856,4167,50000,5660,7.25,1.077,2.9,68.3,1630,1249,16,456,78,2253,1.45,27.8,bls_modeled
2010,Toledo,Ohio,city_medium,270000,2717,1983,32604,2820,33840,3622,7.25,0.963,1.6,56.3,796,678,10,277,45,1304,1.52,25.0,bls_modeled
2011,Toledo,Ohio,city_medium,270000,2702,1972,32424,2872,34460,3701,7.25,0.941,3.2,56.0,845,707,10,283,48,1346,1.47,26.2,bls_modeled
2012,Toledo,Ohio,city_medium,270000,2721,1986,32652,2896,34750,3769,7.25,0.94,2.1,55.8,923,727,10,293,49,1379,1.44,26.7,bls_modeled
2013,Toledo,Ohio,city_medium,270000,2800,2044,33600,2923,35080,3870,7.25,0.958,1.5,55.8,860,699,10,280,50,1341,1.52,25.0,bls_modeled
2014,Toledo,Ohio,city_medium,270000,2977,2173,35724,2962,35540,3936,7.25,1.005,1.6,57.0,929,691,11,306,49,1379,1.58,23.2,bls_modeled
2015,Toledo,Ohio,city_medium,270000,2939,2145,35268,3017,36200,4027,7.25,0.974,0.1,56.1,891,727,10,287,48,1375,1.56,24.7,bls_modeled
2016,Toledo,Ohio,city_medium,270000,3085,2252,37020,3087,37040,4136,7.25,0.999,1.3,57.1,926,764,11,292,51,1442,1.56,24.8,bls_modeled
2017,Toledo,Ohio,city_medium,270000,3039,2218,36468,3141,37690,4218,7.25,0.968,2.1,57.3,930,727,11,317,50,1431,1.55,23.9,bls_modeled
2018,Toledo,Ohio,city_medium,270000,3225,2354,38700,3220,38640,4330,7.25,1.002,2.4,57.0,994,797,11,308,51,1496,1.57,24.7,bls_modeled
2019,Toledo,Ohio,city_medium,270000,3159,2306,37908,3318,39810,4458,7.25,0.952,1.8,57.7,937,757,11,307,54,1460,1.58,24.0,bls_modeled
2020,Toledo,Ohio,city_medium,270000,3319,2423,39828,3496,41950,4692,7.25,0.949,1.2,57.3,991,795,12,331,55,1545,1.57,24.0,bls_modeled
2021,Toledo,Ohio,city_medium,270000,3867,2823,46404,3813,45760,4855,7.25,1.014,4.7,57.2,1083,803,12,335,57,1565,1.8,20.8,bls_modeled
2022,Toledo,Ohio,city_medium,270000,3779,2759,45348,3859,46310,5158,7.25,0.979,8.0,58.8,1085,901,13,366,58,1725,1.6,23.8,bls_modeled
2023,Toledo,Ohio,city_medium,270000,3997,2918,47964,4005,48060,5456,7.25,0.998,4.1,57.9,1188,948,13,372,65,1791,1.63,23.7,bls_modeled
2024,Toledo,Ohio,city_medium,270000,4015,2931,48180,4167,50000,5660,7.25,0.964,2.9,59.2,1161,982,15,398,63,1893,1.55,24.5,bls_modeled
2010,Indianapolis,Indiana,city_large,887000,2568,1875,30816,2820,33840,3622,7.25,0.911,1.6,60.2,1070,793,11,311,53,1481,1.27,30.9,numbeo
2011,Indianapolis,Indiana,city_large,887000,2578,1882,30936,2872,34460,3701,7.25,0.898,3.2,59.6,1116,850,12,320,59,1577,1.19,33.0,numbeo
2012,Indianapolis,Indiana,city_large,887000,2639,1926,31668,2896,34750,3769,7.25,0.911,2.1,59.3,1201,922,11,320,60,1632,1.18,34.9,numbeo
2013,Indianapolis,Indiana,city_large,887000,2659,1941,31908,2923,35080,3870,7.25,0.91,1.5,60.4,1204,852,12,337,60,1601,1.21,32.0,numbeo
2014,Indianapolis,Indiana,city_large,887000,2793,2039,33516,2962,35540,3936,7.25,0.943,1.6,60.3,1233,890,13,340,61,1664,1.23,31.9,numbeo
2015,Indianapolis,Indiana,city_large,887000,2869,2094,34428,3017,36200,4027,7.25,0.951,0.1,61.2,1199,908,12,349,61,1671,1.25,31.6,numbeo
2016,Indianapolis,Indiana,city_large,887000,2880,2102,34560,3087,37040,4136,7.25,0.933,1.3,61.2,1169,943,12,358,60,1716,1.22,32.7,numbeo
2017,Indianapolis,Indiana,city_large,887000,2833,2068,33996,3141,37690,4218,7.25,0.902,2.1,60.6,1234,916,13,360,63,1716,1.21,32.3,numbeo
2018,Indianapolis,Indiana,city_large,887000,2912,2126,34944,3220,38640,4330,7.25,0.904,2.4,60.7,1272,914,13,353,65,1712,1.24,31.4,numbeo
2019,Indianapolis,Indiana,city_large,887000,3125,2281,37500,3318,39810,4458,7.25,0.942,1.8,60.9,1357,998,13,375,63,1818,1.25,31.9,numbeo
2020,Indianapolis,Indiana,city_large,887000,3226,2355,38712,3496,41950,4692,7.25,0.923,1.2,60.7,1337,1006,13,377,64,1831,1.29,31.2,numbeo
2021,Indianapolis,Indiana,city_large,887000,3616,2640,43392,3813,45760,4855,7.25,0.948,4.7,62.2,1371,1009,14,377,71,1867,1.41,27.9,numbeo
2022,Indianapolis,Indiana,city_large,887000,3569,2605,42828,3859,46310,5158,7.25,0.925,8.0,61.5,1544,1089,15,426,73,2028,1.28,30.5,numbeo
2023,Indianapolis,Indiana,city_large,887000,3714,2711,44568,4005,48060,5456,7.25,0.927,4.1,61.4,1547,1223,16,454,75,2218,1.22,32.9,numbeo
2024,Indianapolis,Indiana,city_large,887000,4033,2944,48396,4167,50000,5660,7.25,0.968,2.9,61.9,1657,1222,16,455,77,2224,1.32,30.3,numbeo
2010,Fort Wayne,Indiana,city_medium,270000,2649,1934,31788,2820,33840,3622,7.25,0.939,1.6,54.7,828,628,10,271,44,1247,1.55,23.7,bls_modeled
2011,Fort Wayne,Indiana,city_medium,270000,2611,1906,31332,2872,34460,3701,7.25,0.909,3.2,54.8,883,690,10,288,48,1334,1.43,26.4,bls_modeled
2012,Fort Wayne,Indiana,city_medium,270000,2655,1938,31860,2896,34750,3769,7.25,0.917,2.1,54.5,897,718,10,294,49,1371,1.41,27.0,bls_modeled
2013,Fort Wayne,Indiana,city_medium,270000,2755,2011,33060,2923,35080,3870,7.25,0.943,1.5,55.3,875,693,10,283,47,1335,1.51,25.2,bls_modeled
2014,Fort Wayne,Indiana,city_medium,270000,2659,1941,31908,2962,35540,3936,7.25,0.898,1.6,56.1,948,713,10,286,49,1361,1.43,26.8,bls_modeled
2015,Fort Wayne,Indiana,city_medium,270000,2772,2024,33264,3017,36200,4027,7.25,0.919,0.1,56.3,918,726,11,289,49,1397,1.45,26.2,bls_modeled
2016,Fort Wayne,Indiana,city_medium,270000,2779,2029,33348,3087,37040,4136,7.25,0.9,1.3,56.7,892,750,11,310,50,1445,1.4,27.0,bls_modeled
2017,Fort Wayne,Indiana,city_medium,270000,2867,2093,34404,3141,37690,4218,7.25,0.913,2.1,55.5,950,735,11,316,51,1439,1.45,25.6,bls_modeled
2018,Fort Wayne,Indiana,city_medium,270000,2988,2181,35856,3220,38640,4330,7.25,0.928,2.4,56.7,1005,781,12,323,54,1518,1.44,26.1,bls_modeled
2019,Fort Wayne,Indiana,city_medium,270000,3120,2278,37440,3318,39810,4458,7.25,0.94,1.8,56.8,1020,807,11,330,54,1533,1.49,25.9,bls_modeled
2020,Fort Wayne,Indiana,city_medium,270000,3311,2417,39732,3496,41950,4692,7.25,0.947,1.2,57.2,973,770,11,322,53,1489,1.62,23.3,bls_modeled
2021,Fort Wayne,Indiana,city_medium,270000,3450,2518,41400,3813,45760,4855,7.25,0.905,4.7,57.7,995,794,12,348,57,1569,1.6,23.0,bls_modeled
2022,Fort Wayne,Indiana,city_medium,270000,3680,2686,44160,3859,46310,5158,7.25,0.954,8.0,56.4,1152,900,13,372,61,1733,1.55,24.5,bls_modeled
2023,Fort Wayne,Indiana,city_medium,270000,3754,2740,45048,4005,48060,5456,7.25,0.937,4.1,57.7,1170,884,13,383,62,1735,1.58,23.5,bls_modeled
2024,Fort Wayne,Indiana,city_medium,270000,3869,2824,46428,4167,50000,5660,7.25,0.928,2.9,57.5,1163,992,14,378,65,1865,1.51,25.6,bls_modeled
2010,Minneapolis,Minnesota,city_large,429000,3235,2362,38820,2820,33840,3622,7.25,1.147,1.6,72.9,1115,829,11,325,54,1532,1.54,25.6,numbeo
2011,Minneapolis,Minnesota,city_large,429000,3221,2351,38652,2872,34460,3701,7.25,1.122,3.2,73.9,1091,871,11,311,57,1567,1.5,27.0,numbeo
2012,Minneapolis,Minnesota,city_large,429000,3379,2467,40548,2896,34750,3769,7.25,1.167,2.1,74.1,1130,865,12,326,60,1601,1.54,25.6,numbeo
2013,Minneapolis,Minnesota,city_large,429000,3273,2389,39276,2923,35080,3870,7.25,1.12,1.5,73.6,1221,925,12,337,62,1676,1.43,28.3,numbeo
2014,Minneapolis,Minnesota,city_large,429000,3293,2404,39516,2962,35540,3936,7.25,1.112,1.6,73.1,1231,895,13,334,60,1662,1.45,27.2,numbeo
2015,Minneapolis,Minnesota,city_large,429000,3559,2598,42708,3017,36200,4027,7.25,1.18,0.1,73.5,1205,914,12,342,61,1670,1.56,25.7,numbeo
2016,Minneapolis,Minnesota,city_large,429000,3460,2526,41520,3087,37040,4136,7.25,1.121,1.3,73.5,1169,904,12,354,61,1674,1.51,26.1,numbeo
2017,Minneapolis,Minnesota,city_large,429000,3523,2572,42276,3141,37690,4218,7.25,1.122,2.1,75.2,1206,925,12,339,64,1685,1.53,26.3,numbeo
2018,Minneapolis,Minnesota,city_large,429000,3677,2684,44124,3220,38640,4330,7.25,1.142,2.4,74.0,1293,946,13,353,64,1743,1.54,25.7,numbeo
2019,Minneapolis,Minnesota,city_large,429000,3986,2910,47832,3318,39810,4458,7.25,1.201,1.8,74.2,1368,985,14,364,63,1814,1.6,24.7,numbeo
2020,Minneapolis,Minnesota,city_large,429000,3975,2902,47700,3496,41950,4692,7.25,1.137,1.2,74.7,1378,958,13,367,66,1775,1.63,24.1,numbeo
2021,Minneapolis,Minnesota,city_large,429000,4425,3230,53100,3813,45760,4855,7.25,1.161,4.7,76.0,1438,1049,14,377,71,1907,1.69,23.7,numbeo
2022,Minneapolis,Minnesota,city_large,429000,4443,3243,53316,3859,46310,5158,7.25,1.151,8.0,75.4,1535,1121,15,424,73,2058,1.58,25.2,numbeo
2023,Minneapolis,Minnesota,city_large,429000,4692,3425,56304,4005,48060,5456,7.25,1.172,4.1,75.8,1560,1158,16,443,79,2146,1.6,24.7,numbeo
2024,Minneapolis,Minnesota,city_large,429000,5084,3711,61008,4167,50000,5660,7.25,1.22,2.9,76.8,1610,1149,16,448,81,2148,1.73,22.6,numbeo
2010,St. Paul,Minnesota,city_medium,311000,3061,2235,36732,2820,33840,3622,7.25,1.085,1.6,58.4,853,663,9,277,45,1269,1.76,21.7,bls_modeled
2011,St. Paul,Minnesota,city_medium,311000,3131,2286,37572,2872,34460,3701,7.25,1.09,3.2,59.1,864,655,10,271,48,1282,1.78,20.9,bls_modeled
2012,St. Paul,Minnesota,city_medium,311000,3398,2481,40776,2896,34750,3769,7.25,1.173,2.1,59.5,842,721,10,281,49,1361,1.82,21.2,bls_modeled
2013,St. Paul,Minnesota,city_medium,311000,3384,2470,40608,2923,35080,3870,7.25,1.158,1.5,59.9,874,733,11,293,46,1404,1.76,21.7,bls_modeled
2014,St. Paul,Minnesota,city_medium,311000,3418,2495,41016,2962,35540,3936,7.25,1.154,1.6,59.7,908,742,10,301,50,1406,1.77,21.7,bls_modeled
2015,St. Paul,Minnesota,city_medium,311000,3471,2534,41652,3017,36200,4027,7.25,1.15,0.1,60.4,901,693,10,290,50,1346,1.88,20.0,bls_modeled
2016,St. Paul,Minnesota,city_medium,311000,3471,2534,41652,3087,37040,4136,7.25,1.124,1.3,60.1,964,700,11,299,48,1382,1.83,20.2,bls_modeled
2017,St. Paul,Minnesota,city_medium,311000,3565,2602,42780,3141,37690,4218,7.25,1.135,2.1,60.4,952,733,11,304,49,1423,1.83,20.6,bls_modeled
2018,St. Paul,Minnesota,city_medium,311000,3798,2773,45576,3220,38640,4330,7.25,1.18,2.4,61.2,914,744,12,319,54,1477,1.88,19.6,bls_modeled
2019,St. Paul,Minnesota,city_medium,311000,3838,2802,46056,3318,39810,4458,7.25,1.157,1.8,61.2,989,785,11,311,54,1492,1.88,20.5,bls_modeled
2020,St. Paul,Minnesota,city_medium,311000,4176,3048,50112,3496,41950,4692,7.25,1.195,1.2,61.4,1027,767,12,324,53,1508,2.02,18.4,bls_modeled
2021,St. Paul,Minnesota,city_medium,311000,4443,3243,53316,3813,45760,4855,7.25,1.165,4.7,61.6,995,806,13,332,55,1583,2.05,18.1,bls_modeled
2022,St. Paul,Minnesota,city_medium,311000,4539,3313,54468,3859,46310,5158,7.25,1.176,8.0,62.4,1133,869,13,367,60,1696,1.95,19.1,bls_modeled
2023,St. Paul,Minnesota,city_medium,311000,4762,3476,57144,4005,48060,5456,7.25,1.189,4.1,62.3,1135,885,14,390,63,1764,1.97,18.6,bls_modeled
2024,St. Paul,Minnesota,city_medium,311000,4976,3632,59712,4167,50000,5660,7.25,1.194,2.9,62.4,1147,987,15,381,63,1881,1.93,19.8,bls_modeled
2010,Milwaukee,Wisconsin,city_large,577000,3049,2226,36588,2820,33840,3622,7.25,1.081,1.6,65.4,1088,799,11,311,57,1491,1.49,26.2,bls_modeled
2011,Milwaukee,Wisconsin,city_large,577000,2994,2186,35928,2872,34460,3701,7.25,1.042,3.2,65.0,1194,872,11,324,56,1580,1.38,29.1,bls_modeled
2012,Milwaukee,Wisconsin,city_large,577000,3030,2212,36360,2896,34750,3769,7.25,1.046,2.1,65.7,1168,885,11,342,60,1617,1.37,29.2,bls_modeled
2013,Milwaukee,Wisconsin,city_large,577000,3219,2350,38628,2923,35080,3870,7.25,1.101,1.5,66.3,1186,937,12,331,57,1677,1.4,29.1,bls_modeled
2014,Milwaukee,Wisconsin,city_large,577000,3144,2295,37728,2962,35540,3936,7.25,1.061,1.6,66.5,1213,928,12,343,61,1685,1.36,29.5,bls_modeled
2015,Milwaukee,Wisconsin,city_large,577000,3335,2435,40020,3017,36200,4027,7.25,1.105,0.1,66.5,1166,916,12,332,63,1664,1.46,27.5,bls_modeled
2016,Milwaukee,Wisconsin,city_large,577000,3358,2451,40296,3087,37040,4136,7.25,1.088,1.3,67.4,1256,910,13,354,63,1702,1.44,27.1,bls_modeled
2017,Milwaukee,Wisconsin,city_large,577000,3429,2503,41148,3141,37690,4218,7.25,1.092,2.1,66.4,1258,900,13,362,62,1701,1.47,26.2,bls_modeled
2018,Milwaukee,Wisconsin,city_large,577000,3528,2575,42336,3220,38640,4330,7.25,1.096,2.4,66.3,1260,967,13,372,62,1781,1.45,27.4,bls_modeled
2019,Milwaukee,Wisconsin,city_large,577000,3468,2532,41616,3318,39810,4458,7.25,1.045,1.8,66.8,1294,932,14,369,67,1770,1.43,26.9,bls_modeled
2020,Milwaukee,Wisconsin,city_large,577000,3801,2775,45612,3496,41950,4692,7.25,1.087,1.2,67.3,1379,1009,13,367,66,1826,1.52,26.5,bls_modeled
2021,Milwaukee,Wisconsin,city_large,577000,4238,3094,50856,3813,45760,4855,7.25,1.111,4.7,67.7,1440,1030,13,399,69,1888,1.64,24.3,bls_modeled
2022,Milwaukee,Wisconsin,city_large,577000,4224,3084,50688,3859,46310,5158,7.25,1.095,8.0,68.5,1564,1103,14,412,76,2011,1.53,26.1,bls_modeled
2023,Milwaukee,Wisconsin,city_large,577000,4321,3154,51852,4005,48060,5456,7.25,1.079,4.1,68.1,1622,1207,15,438,79,2170,1.45,27.9,bls_modeled
2024,Milwaukee,Wisconsin,city_large,577000,4419,3226,53028,4167,50000,5660,7.25,1.06,2.9,69.2,1564,1210,16,462,79,2221,1.45,27.4,bls_modeled
2010,Madison,Wisconsin,city_medium,269000,2701,1972,32412,2820,33840,3622,7.25,0.958,1.6,56.6,820,643,10,266,46,1259,1.57,23.8,bls_modeled
2011,Madison,Wisconsin,city_medium,269000,2803,2046,33636,2872,34460,3701,7.25,0.976,3.2,56.4,869,699,10,287,48,1342,1.52,24.9,bls_modeled
2012,Madison,Wisconsin,city_medium,269000,2783,2032,33396,2896,34750,3769,7.25,0.961,2.1,56.6,897,698,10,295,47,1350,1.51,25.1,bls_modeled
2013,Madison,Wisconsin,city_medium,269000,2830,2066,33960,2923,35080,3870,7.25,0.968,1.5,57.1,862,678,10,284,50,1324,1.56,24.0,bls_modeled
2014,Madison,Wisconsin,city_medium,269000,2902,2118,34824,2962,35540,3936,7.25,0.98,1.6,55.9,882,723,11,285,51,1392,1.52,24.9,bls_modeled
2015,Madison,Wisconsin,city_medium,269000,2907,2122,34884,3017,36200,4027,7.25,0.964,0.1,57.1,941,743,10,302,48,1406,1.51,25.6,bls_modeled
